IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.232.14,80,80,false,HKG,Asia Pacific,Hong Kong,28,1.99
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,133,1.97
47.76.227.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,101,1.96
47.76.233.67,2053,2053,true,HKG,Asia Pacific,Hong Kong,209,1.94
47.242.202.230,2052,2052,false,HKG,Asia Pacific,Hong Kong,346,1.93
47.243.203.119,2082,2082,false,HKG,Asia Pacific,Hong Kong,256,1.92
47.76.159.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,1.92
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,1.91
8.210.101.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,223,1.91
8.218.81.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,181,1.89
47.242.234.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,265,1.88
47.242.252.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,161,1.88
8.218.122.55,8880,8880,false,HKG,Asia Pacific,Hong Kong,340,1.85
8.217.85.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,263,1.83
8.210.207.214,8080,8080,false,HKG,Asia Pacific,Hong Kong,506,1.83
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,117,1.82
8.210.146.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,110,1.77
47.242.42.153,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,1.76
8.217.232.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,159,1.76
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,29,1.74
8.218.53.110,80,80,false,HKG,Asia Pacific,Hong Kong,149,1.74
8.210.34.188,2095,2095,false,HKG,Asia Pacific,Hong Kong,69,1.72
43.129.171.137,80,80,false,HKG,Asia Pacific,Hong Kong,697,1.72
47.76.227.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,244,1.71
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,550,1.70
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,133,1.68
47.242.171.94,2083,2083,true,HKG,Asia Pacific,Hong Kong,87,1.68
47.76.214.139,2096,2096,true,HKG,Asia Pacific,Hong Kong,574,1.66
47.242.202.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,189,1.66
8.210.101.157,8880,8880,false,HKG,Asia Pacific,Hong Kong,222,1.65
47.76.222.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,150,1.62
47.76.214.139,8443,8443,true,HKG,Asia Pacific,Hong Kong,588,1.60
47.76.29.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,118,1.59
47.76.33.40,2082,2082,false,HKG,Asia Pacific,Hong Kong,336,1.56
47.242.79.71,80,80,false,HKG,Asia Pacific,Hong Kong,31,1.54
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,94,1.52
47.242.232.14,2086,2086,false,HKG,Asia Pacific,Hong Kong,30,1.51
8.210.245.224,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,1.51
47.76.77.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,79,1.51
8.218.146.204,8080,8080,false,HKG,Asia Pacific,Hong Kong,159,1.50
8.210.101.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,116,1.49
8.210.175.109,2095,2095,false,HKG,Asia Pacific,Hong Kong,887,1.44
58.82.242.199,19339,443,true,HKG,Asia Pacific,Hong Kong,196,1.43
47.242.176.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,28,1.41
8.210.101.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,229,1.40
8.210.3.24,2082,2082,false,HKG,Asia Pacific,Hong Kong,113,1.39
47.242.54.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,126,1.38
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,342,1.37
8.218.188.129,80,80,false,HKG,Asia Pacific,Hong Kong,267,1.36
8.210.3.24,2086,2086,false,HKG,Asia Pacific,Hong Kong,978,1.35
8.217.193.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,85,1.31
47.76.189.102,2096,2096,true,HKG,Asia Pacific,Hong Kong,127,1.31
47.238.0.114,2096,2096,true,HKG,Asia Pacific,Hong Kong,169,1.29
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,162,1.27
8.210.101.157,80,80,false,HKG,Asia Pacific,Hong Kong,277,1.26
47.238.35.50,2053,2053,true,HKG,Asia Pacific,Hong Kong,28,1.25
8.218.53.110,8880,8880,false,HKG,Asia Pacific,Hong Kong,148,1.21
8.210.146.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,52,1.19
8.218.1.163,8443,8443,true,HKG,Asia Pacific,Hong Kong,339,1.19
8.210.156.6,8443,8443,true,HKG,Asia Pacific,Hong Kong,298,1.18
8.210.156.6,8880,8880,false,HKG,Asia Pacific,Hong Kong,302,1.15
47.76.33.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,338,1.14
47.76.204.76,2082,2082,false,HKG,Asia Pacific,Hong Kong,534,1.14
47.76.29.115,2087,2087,true,HKG,Asia Pacific,Hong Kong,118,1.13
8.217.232.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,255,1.11
8.210.34.188,2052,2052,false,HKG,Asia Pacific,Hong Kong,74,1.06
8.218.53.110,8443,8443,true,HKG,Asia Pacific,Hong Kong,153,1.03
8.210.146.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,1.02
47.76.77.103,80,80,false,HKG,Asia Pacific,Hong Kong,146,1.01
47.242.125.241,2087,2087,true,HKG,Asia Pacific,Hong Kong,233,1.01
8.210.42.171,8443,8443,true,HKG,Asia Pacific,Hong Kong,887,1.00
47.238.5.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,552,0.97
47.242.171.94,8080,8080,false,HKG,Asia Pacific,Hong Kong,88,0.96
47.243.51.171,8443,8443,true,HKG,Asia Pacific,Hong Kong,486,0.94
47.242.171.94,2052,2052,false,HKG,Asia Pacific,Hong Kong,85,0.91
8.218.174.118,2086,2086,false,HKG,Asia Pacific,Hong Kong,300,0.91
47.242.232.14,2095,2095,false,HKG,Asia Pacific,Hong Kong,27,0.89
8.218.174.118,8080,8080,false,HKG,Asia Pacific,Hong Kong,295,0.89
47.243.60.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,292,0.87
8.210.156.6,2053,2053,true,HKG,Asia Pacific,Hong Kong,298,0.87
8.217.193.25,2095,2095,false,HKG,Asia Pacific,Hong Kong,85,0.86
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,338,0.83
8.210.42.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,885,0.82
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,241,0.82
47.243.90.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,27,0.81
8.217.232.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,211,0.80
47.238.6.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,0.80
47.76.159.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,35,0.78
8.218.174.118,2095,2095,false,HKG,Asia Pacific,Hong Kong,299,0.77
47.243.203.119,2086,2086,false,HKG,Asia Pacific,Hong Kong,226,0.76
47.76.77.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,145,0.73
47.242.125.241,443,443,true,HKG,Asia Pacific,Hong Kong,231,0.72
8.210.175.109,8080,8080,false,HKG,Asia Pacific,Hong Kong,893,0.72
47.242.171.94,2053,2053,true,HKG,Asia Pacific,Hong Kong,83,0.71
58.82.242.199,16762,443,true,HKG,Asia Pacific,Hong Kong,133,0.68
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,124,0.67
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,31,0.66
8.218.146.204,2082,2082,false,HKG,Asia Pacific,Hong Kong,567,0.66
47.238.43.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,167,0.65
47.76.159.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,0.63
8.210.245.224,80,80,false,HKG,Asia Pacific,Hong Kong,33,0.61
47.243.86.79,2095,2095,false,HKG,Asia Pacific,Hong Kong,172,0.60
47.76.204.76,2095,2095,false,HKG,Asia Pacific,Hong Kong,163,0.58
47.242.7.162,2087,2087,true,HKG,Asia Pacific,Hong Kong,470,0.58
47.76.26.26,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,0.57
47.238.43.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,282,0.53
58.82.242.199,11353,443,true,HKG,Asia Pacific,Hong Kong,120,0.48
47.76.77.103,2087,2087,true,HKG,Asia Pacific,Hong Kong,147,0.48
8.210.245.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,100,0.48
47.76.146.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,84,0.46
47.238.35.50,8443,8443,true,HKG,Asia Pacific,Hong Kong,28,0.44
8.218.146.204,2052,2052,false,HKG,Asia Pacific,Hong Kong,135,0.44
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,130,0.42
8.210.34.188,2086,2086,false,HKG,Asia Pacific,Hong Kong,75,0.42
47.238.43.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,182,0.41
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,0.40
8.210.48.107,2096,2096,true,HKG,Asia Pacific,Hong Kong,855,0.39
47.243.86.79,80,80,false,HKG,Asia Pacific,Hong Kong,153,0.33
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,184,0.28
47.243.60.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,131,0.24
8.210.9.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,686,0.21
8.210.55.134,2082,2082,false,HKG,Asia Pacific,Hong Kong,590,0.20
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,442,0.19
47.76.159.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,0.17
47.76.94.15,2082,2082,false,HKG,Asia Pacific,Hong Kong,66,0.15
47.243.86.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,203,0.15
47.76.77.103,8443,8443,true,HKG,Asia Pacific,Hong Kong,147,0.14
8.217.90.154,443,443,true,HKG,Asia Pacific,Hong Kong,60,0.12
47.243.5.154,2083,2083,true,HKG,Asia Pacific,Hong Kong,301,0.11
152.32.190.239,4431,443,true,HKG,Asia Pacific,Hong Kong,430,0.10
47.76.77.103,2095,2095,false,HKG,Asia Pacific,Hong Kong,145,0.07
58.82.242.199,20500,443,true,HKG,Asia Pacific,Hong Kong,317,0.07
39.115.137.14,443,443,true,HKG,Asia Pacific,Hong Kong,858,0.07
8.210.55.134,2096,2096,true,HKG,Asia Pacific,Hong Kong,124,0.05
154.204.60.218,29876,443,true,HKG,Asia Pacific,Hong Kong,808,0.05
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,148,0.03
8.210.55.134,8080,8080,false,HKG,Asia Pacific,Hong Kong,141,0.03
8.218.1.163,2096,2096,true,HKG,Asia Pacific,Hong Kong,249,0.02
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,800,0.01
8.210.55.134,2086,2086,false,HKG,Asia Pacific,Hong Kong,546,0.01
103.117.101.24,30809,80,false,HKG,Asia Pacific,Hong Kong,256,0.00
194.104.146.124,30809,80,false,HKG,Asia Pacific,Hong Kong,809,0.00
8.218.188.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,260,0.00
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,135,0.00
47.242.155.183,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,0.00
47.243.86.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,181,0.00
8.217.232.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,125,0.00
47.242.54.157,80,80,false,HKG,Asia Pacific,Hong Kong,128,0.00
47.242.252.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,240,0.00
47.238.35.50,2096,2096,true,HKG,Asia Pacific,Hong Kong,29,0.00
47.242.232.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,30,0.00
8.210.245.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,33,0.00
8.217.232.246,2082,2082,false,HKG,Asia Pacific,Hong Kong,241,0.00
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,548,0.00
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,298,0.00
8.210.174.156,8880,8880,false,HKG,Asia Pacific,Hong Kong,86,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,601,0.00
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,0.00
47.76.33.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,339,0.00
8.217.145.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,887,0.00
47.76.189.102,80,80,false,HKG,Asia Pacific,Hong Kong,122,0.00
47.76.33.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,175,0.00
43.154.104.77,443,443,true,HKG,Asia Pacific,Hong Kong,298,0.00
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,188,0.00
152.32.130.150,802,443,true,HKG,Asia Pacific,Hong Kong,776,0.00
58.82.242.199,37202,443,true,HKG,Asia Pacific,Hong Kong,121,0.00
8.210.174.156,8080,8080,false,HKG,Asia Pacific,Hong Kong,336,0.00
8.210.156.6,80,80,false,HKG,Asia Pacific,Hong Kong,113,0.00
8.210.34.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,172,0.00
47.76.233.67,2083,2083,true,HKG,Asia Pacific,Hong Kong,232,0.00
47.242.202.230,2083,2083,true,HKG,Asia Pacific,Hong Kong,347,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,694,0.00
58.82.242.199,12170,443,true,HKG,Asia Pacific,Hong Kong,121,0.00
47.238.5.0,2096,2096,true,HKG,Asia Pacific,Hong Kong,511,0.00
8.218.53.110,2096,2096,true,HKG,Asia Pacific,Hong Kong,153,0.00
47.242.176.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,28,0.00
202.66.132.250,443,443,true,HKG,Asia Pacific,Hong Kong,799,0.00
